Alava;1
Albacete;2
Alicante;3
Almeria;4
Asturias;5
Avila;6
Badajoz;7
Barcelona;8
Burgos;9
Caceres;10
Cadiz;11
Cantabria;12
Castellon;13
Ceuta;14
Ciudad Real;15
Cordoba;16
Cuenca;17
Gerona;18
Granada;19
Guadalajara;20
Guipuzcoa;21
Huelva;22
Huesca;23
Islas Baleares;24
Jaen;25
La Coruña;26
La Rioja;27
Las palmas;28
Leon;29
Lerida;30
Lugo;31
Madrid;32
Malaga;33
Melilla;34
Murcia;35
Navarra;36
Orense;37
Palencia;38
Pontevedra;39
Salamanca;40
Santa Cruz de Tenerife;41
Segovia;42
Sevilla;43
Soria;44
Tarragona;45
Teruel;46
Toledo;47
Valencia;48
Valladolid;49
Vizcaya;50
Zamora;51
Zaragoza;52
